bacterium,antibiotic,n_isolates,observed_resistance,has multidrug efflux pump_bact,performs hydrolysis_bact,porin loss_bact,porin mutation_bact,PBP modification_bact,ribosomal methylation_bact,biofilm protection_bact,target alteration_bact,target replacement_bact,target overexpression_bact,inactivation_bact,gram_negative_bact,outer_membrane_bact,intrinsic_beta_lactamase_bact,non_fermenter_bact,has multidrug efflux pump_abx,performs hydrolysis_abx,porin loss_abx,porin mutation_abx,PBP modification_abx,ribosomal methylation_abx,biofilm protection_abx,target alteration_abx,target replacement_abx,target overexpression_abx,inactivation_abx,gram_negative_abx,outer_membrane_abx,intrinsic_beta_lactamase_abx,non_fermenter_abx
Serratia marcescens,Ceftolozane-tazobactam,4348,0.0552,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.3,0.2,0.5,0.4,0.5,0.0,0.6,0.2,0.1,0.1,0.2,0.4,0.4,0.2,0.2
Serratia marcescens,Ceftriaxone,14135,0.1628,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.5,0.7,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.4,0.4,0.7,0.8
Serratia marcescens,Gentamicin,6018,0.0673,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.6,0.1,0.3,0.2,0.0,0.9,0.7,0.7,0.1,0.1,0.8,0.3,0.3,0.0,0.3
Serratia marcescens,Imipenem,9026,0.0424,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.3,0.7,0.8,0.6,0.6,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
Serratia marcescens,Meropenem,19913,0.0225,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.4,0.8,0.8,0.6,0.5,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
Serratia marcescens,Meropenem-vaborbactam,4042,0.0139,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0.3,0.2,0.7,0.5,0.5,0.0,0.6,0.2,0.1,0.1,0.2,0.4,0.4,0.1,0.2
Streptococcus pneumoniae,Amoxicillin-clavulanate,28123,0.041,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.5,0.2,0.4,0.3,0.7,0.0,0.6,0.2,0.1,0.1,0.2,0.5,0.5,0.2,0.8
Streptococcus pneumoniae,Azithromycin,14637,0.2941,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.8,0.4,0.1,0.1,0.0,0.9,0.6,1.0,0.7,0.4,0.5,0.9,0.8,0.1,0.9
Streptococcus pneumoniae,Ceftaroline,23086,0.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.3,0.5,0.4,0.3,0.5,0.0,0.6,0.2,0.1,0.1,0.4,0.4,0.4,0.5,0.8
Streptococcus pneumoniae,Ceftriaxone,39029,0.02,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.5,0.7,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.4,0.4,0.7,0.8
Streptococcus pneumoniae,Erythromycin,37719,0.3265,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.8,0.1,0.2,0.2,0.0,0.9,0.7,0.8,0.1,0.2,0.6,0.9,0.8,0.0,0.9
Streptococcus pneumoniae,Imipenem,1318,0.0273,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.3,0.7,0.8,0.6,0.6,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
Streptococcus pneumoniae,Meropenem,37711,0.1093,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.4,0.8,0.8,0.6,0.5,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
